"122";"1Kakav vetar označava znak na meteorološkoj karti: (Pogledajte sliku PPL Meteo-15)";"Severni, jačine 60 čvorova";"Zapadni, jačine 60 čvorova";"Južni, jačine 15 čvorova";"Istočni, jačine 15 čvorova 12] 2 PPL Meteo 15.jpg Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 21 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"123";"Svaki fizički proces koji dovodi do promene vremenskih prilika je praćen, ili je rezultat,";"Razmene toplote";"Promene pritiska";"Kretanja vazduha";"";"a";"Meteorologija"
"124";"Koji vremenski fenomen je posledica temperaturne inverzije?";"Stabilne vazdušne mase";"Nestabilne vazdušne mase";"Vertikalni razvoj vetrova na planinskim padinama";"Grmljavinske nepogode unutar vazdušne mase";"a";"Meteorologija"
"125";"Najčešći tip zemaljske ili prizemne temperaturne inverzije je proizvod";"Zemljine radijacije tokom vedre, relativno mirne noći";"Kretanja hladne vazdušne mase ispod tople vazdušne mase ili kretanje tople vazdušne mase iznad hladne vazdušne mase";"Ubrzanog podizanja tople vazdušne mase do visine planinskog terena";"";"a";"Meteorologija"
"126";"Ukupna količina vodene pare koju vazduh može održati zavisi od :";"Temperature vazduha";"Stabilnosti vazdušne mase";"Tačke rose";"";"a";"Meteorologija"
"127";"Približno koliko iznosi temperatura tačke rose na nivou aerodroma, ako je temperatura 20°C, a baza kumulusnih oblaka 1.100 metara iznad aerodroma:";"11°C";"-3°C";"11°C";"5°C";"a";"Meteorologija"
"128";"Koje su karakteristike nestabilne vazdušne mase ?";"Turbulencija i dobra vidljivost na zemlji";"Turbulencija i loša vidljivost na zemlji";"Oblaci nimbostratus i dobra vidljivost na zemlji";"";"a";"Meteorologija"
"129";"Koji tip oblaka je najčešće povezan za prolaskom toplog fronta?";"CI, CS, AS, NS.";"CC, AC, CU, CB.";"CI, CC, NS, CB.";"CC, SC, ST, NS. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 22 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"130";"Kakvi vremenski uslovi bi trebali da budu ispod sloja u kojem je nizak nivo temperaturne inverzije";"Malo smicanje vetra, loša vidljivost, izmaglica i slaba kiša";"Miran vazduh, loša vidljivost, magla, izmaglica i niski oblaci";"Turbulentan vazduh, loša vidljivost, magla, niski stratus tipovi oblaka, padavine sa pljuskovima";"";"a";"Meteorologija"
"131";"Šta proračunavamo pomoću sledeće formule: (razlika između temperature i tačke rose) x 123 =.....?";"Bazu kumulusne oblačnosti u metrima";"Temperaturu vazduha na visini leta";"Visinu stratusne oblačnosti u metrima";"Relativnu vlažnost";"a";"Meteorologija"
"132";"Približno koliko iznosi baza kumulusa iznad zemlje, ako je temperatura pri zemlji 27°C, a tačka rose 15°C:";"1.500 m";"1.000 m";"2.000 m";"2.700 m";"a";"Meteorologija"
"133";"Koja je očekivana visina baze kumulusa iznad aerodroma , ako je trenutna temperatura tačke rose vazduha pri zemlji 5°C, a prognozirana dnevna maksimalna temperatura je 25°C:";"2.500 m";"2.000 m";"2.800 m";"1.500 m";"a";"Meteorologija"
"134";"Padavine u obliku pljuskova, padaju iz oblaka tipa:";"CB";"ST";"CI";"CU";"a";"Meteorologija"
"135";"Grmljavinska nepogoda dostiže najveći intenzitet tokom";"Faze zrelosti";"Faze nisponih strujanja vazduha";"Kumulus faze Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 23 / 29 PPL - Vazduhoplovna meteorologija";"";"a";"Meteorologija"
"136";"Kada se mogu očekivati opasnost za vazduhoplov uslovljena pojavom smicanja vetra";"Na površinama malog nivoa temperaturne inverzije, frontalnim oblastima, i sa jasno izraženom turbulencijom";"Nastanak stratokumulusa mehaničkim mešanjem nakon prolaska fronta";"Ukoliko po obodima planina stabilna vazdušna masa ima tendenciju kretanja u slojevima formirajući na taj način lentikularne oblake";"";"a";"Meteorologija"
"137";"Pilot može očekivati zonu smicanja vetra pri temperaturnoj inverziji uvek kad je brzina vetra na visini od 2000ft do 4000 ft najmanje";"25 knots.";"15 knots.";"10 knots.";"";"a";"Meteorologija"
"138";"Ukoliko je u blizini aerodroma na koji želite da sletite grmljavinska nepogoda . Koju atmosfersku pojavu možete očekivati prilikom procedure prilaza za sletanje";"Turbulenciju usled smicanja vetra";"Neprekidnu kišu";"Padavine";"";"a";"Meteorologija"
"139";"Gde može da postoji smicanje vetra?";"Na svim visinama, u svim pravcima";"Samo na manjim visinama";"Samo na većim visinama";"";"a";"Meteorologija"
"140";"Zašto se zamrzavanje smatra opasnim po let vazduhoplova";"Zamrzavanje smanjuje nesmetan protok vazduha po površini krila, pa na taj način smanjuje silu uzgona";"Zamrzavanje usporava protok vazduha iznad aeroprofila, pa na taj način povećava efikasnost kontrolnih površina";"Zamrzavanje menja osnovni aerodinamički oblik profila aeroprofila , pa na taj način povećava silu uzgona";"";"a";"Meteorologija"
"141";"U kojim uslovima , led na strukturi vazduhoplova najčešće ima najveću stopu nagomilavanja";"Kada pada ledena kiša";"Kada pada ledena rosulja";"Kada imamo kumuluse sa temperaturom manjom od temperature zamrzavanja Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 24 / 29 PPL - Vazduhoplovna meteorologija";"";"a";"Meteorologija"
"142";"Kolika je količina oblačnosti u nižem sloju oblaka nad aerodromom u času osmatranja vremena: METARLSZH 131630Z 24008KT 0600 R16/1000U FG DZ FEW003 SCT010 OVC020 17/16 Q1018 NECMG TL1700 0800 FG BECMG AT1800 9999 NSW=";"1 /8 to 2/8.";"5/8 to 7/8.";"8/8.";"Manje od 1/8";"a";"Meteorologija"
"143";"Koja je bila temperatura na aerodromu u času osmatranja vremena: METAR LSZH 131630Z 24008KT 0600 R16/1000U FG DZ FEW003 SCT010 OVC020 17/16 Q1018 BECMG TL1700 0800 BECMG AT1800 9999=";"17°C";"Između 10°C i 18°C";"16°C";"Između 16°C i 17°C";"a";"Meteorologija"
"144";"Koliko je iznosio vazdušni pritisak na aerodromu u času osmatranja vremena: METAR LSZH 131630Z 24008KT 0600 R16/1000U FG DZ FEW003 SCT010 OVC020 17/16 Q1018 BECMG TL1700 0800 BECMG AT1800 9999=";"1018 hpa (QNH).";"1000 hpa (QNH).";"999 hpa (QFE).";"1018 hpa (QFE)";"a";"Meteorologija"
"145";"Kada je bio izdat sledeći METAR izveštaj: METAR LSZH 131630Z 24008KT 0666 R16/1000U FG DZ FE003 SCT010 OVC020 17/16 Q1018 BECMG TL1700 0800 FG BECMG AT 1800 9999 NSW=";"U 16:30 UTC, 13. Dana tekućeg meseca";"U 16 časova UTC, 30. Dana tekućeg meseca";"U 16:30 po lokalnom vremenu";"U 24:00 po lokalnom vremenu, 8. Dana tekućeg meseca";"a";"Meteorologija"
"146";"Koje padavine su bile na aerodromu u času osmatranja vremena: METAR LSZH 131630Z 24008KT 0600 R16/1000U FG DZ FSW003 SCT010 OVC020 17/16 Q1018 BECMG TL1700 0800 FG BECMG AT 1800 9999 NSW =";"Slaba rosulja";"Dugotrajna kiša slabog intenziteta";"Grad";"Pljusak kiše Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 25 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"147";"Kolika je bila baza oblaka na aerodromu u času osmatranja vremena: METAR LSZH 131630Z 24008KT 0600 R16/1000U FG DZ FEW003 SCT010 OVC020 17/16 Q1018 BECMG TL1700 0800 FG BECMG AT1800 9999 NSW=";"300 m";"10 ft";"100 ft";"1000 m";"a";"Meteorologija"
"148";"Koju od sledećih meteoroloških vremenskih METAR izveštaja možemo, u skladu sa propisima, skratiti sa izrazom CAVOK (minimalna sektorska visina je 000 ft): I) 34004KT 7000 MIFG SCT260 09/08 Q1019 NOSIG= II) 27019G37KT 9999 BKN050 18/14 Q1016 NOSIG= III) 0000KT 0100 FG VV001 11/11 Q1025 BECMG 0500= IV) 26012KT 8000 -SHRA BKN025TCU 16/12 Q1018 NOSIG=";"II.";"I.";"III.";"IV.";"a";"Meteorologija"
"149";"Kada možemo računati da ce se na aerodromu podići magla i da ce biti uslova za VFR letenje: METAR LSZH 131630Z 24008KT 0600 R16/1000U FG DZ FEW003 SCT010 OVC020 17/16 Q1018 BECMG TL1700 0800 BECMG";"Posle 18:00 UTC";"Do 17:00 UTC";"Najkasnije do 18:00 UTC";"Između 17:00 i 18:00 UTC";"a";"Meteorologija"
"150";"Kakvo se vreme predviđa na aerodromu posle 12:00 UTC: TAF LYBE 160500Z 1606/1706 13010KT 9000 BKN020 BECMG 1606/1608 SCT015CB BKN020 TEMPO 1608/1612 17012G22KT 1000 TSRA SCT010CB BKN020 FM12 15006KT 9999 BKN020 BKN100=";"Duvaće jugoistočni vetar srednje jačine, vidljivost u poboljšanju preko 10 km, prestanak padavina,Povećanje oblačnosti, baza oblaka 600 m";"Kišovito vreme sa pljuskovima, rafalni vetar, vidljivost manja od 10 km";"Povećanje vidljivosti na 5 do 10 km, smanjenje količine oblačnosti na 1/8 sa bazom 600 m i 1/8 sa bazom na 3000 m";"Duvaće jugoistočni vetar jačine 6 kt, vidljivost povoljna za letenje u VMC uslovima, nebo potpuno Prekriveno oblacima, čija je baza na 600 m Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 26 / 29 PPL - Vazduhoplovna meteorologija PRILOZI: Slika PPL Meteo-1 Slika PPL Meteo-2 Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 27 / 29 PPL - Vazduhoplovna meteorologija Slika PPL Meteo-4 Slika PPL Meteo-6 Slika PPL Meteo-15 Slika PPL Meteo-10 Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 28 / 29 PPL - Vazduhoplovna meteorologija Slika PPL Meteo-5 Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 29 / 29";"a";"Meteorologija"
"1";"Koliko iznosi ugao inklinacije Zemljine ose? 66½0.";"";"23½0.";"900. 33½º.";"";"a";"Navigacija"
"2";"Meridijan koji prolazi kroz Grinič je poznat kao:";"Početni meridijan.";"Glavni meridijan.";"Ekvator.";"Veliki meridijan.";"a";"Navigacija"
"3";"Loksodroma je:";"Kriva linija na zemljinoj površini koja seče sve meridijane pod istim uglom.";"Kriva linija na zemljinoj površini koja seče sve paralele pod istim uglom.";"Linija koja pokazuje pravi sever.";"Linija na površini zemlje čije središte i radijus su isti kao kod zemljine kugle.";"a";"Navigacija"
"4";"Varijacija je ugao izmeñu:";"Pravog severa i magnetnog severa.";"Pravog severa i najbližeg meridijana.";"Magnetnog severa i avionskog magnetnog kompasa.";"Magnetnog severa i avionskog pravog kursa.";"a";"Navigacija"
"5";"Izogona je linija koja spaja tačke:";"Jednake magnetne varijacije.";"Jednake magnetne devijacije.";"Nulte magnetne varijacije.";"Nulte magnetne devijacije.";"a";"Navigacija"
"6";"Koje tačke na zemljinoj kugli odreñuju njenu osu?";"Severni i južni geografski pol.";"Ekvator-polulopta.";"Severni i južni magnetni pol.";"Severni geografski i severni magnetni pol.";"a";"Navigacija"
"7";"Koliko približno iznosi obim Zemljinog ekvatora?";"40075 km.";"21600 Nm. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) - Navigacija";"30000 Nm.";"24000 km.";"a";"Navigacija"
"8";"Prečnik Zemljine kugle na ekvatoru je u odnosu na dužinu Zemljine ose:";"Veći za 43km.";"Dva puta veći.";"Jednak.";"Manji za 42km.";"a";"Navigacija"
"9";"Koja od sledećih tvrdnji, koje se odnose na kruženje Zemlje oko Sunca, je pravilna?";"Zemlja obiñe Sunce za godinu dana.";"Zemlja obiñe Sunce jedanput leti i jedanput zimi.";"Zemlja ne kruži oko sunca, Zemlja miruje a Sunce kruži oko Zemlje.";"Zemlja obiñe Sunce u jednom danu.";"a";"Navigacija"
"10";"Zemljina kugla rotira:";"Oko svoje ose u smeru zapad – istok.";"Oko takozvanog Sunčevog povratnika.";"Sa Suncem, u smeru od istoka ka zapadu.";"Oko svoje ose u smeru istok – zapad.";"a";"Navigacija"
"11";"Zemljina putanja je:";"Elipsa, sa Suncem u jednoj od žiža.";"Kružnica, sa Suncem u redini.";"Elipsa, sa Suncem u različitim tačkama unutar elipse.";"Kružnica, oko koje kruži Sunce.";"a";"Navigacija"
"12";"U čemu je značaj loksodrome?";"Seče meridijan pod istim uglovima.";"To je veliki krug.";"To je najkraća razdaljina izmeñu dve tačke na zemljinoj kugli.";"Seče meridijan pod različitim uglovima.";"a";"Navigacija"
"13";"Vazduhoplov se nalazi nad Beogradom i leti tačno prema jugu. Vreme je 12:00 UTC. Sunce je tada:";"Desno od pravca vazduhoplova.";"Tačno na jugu.";"Levo od pravca vazduhoplova.";"Levo ili desno od pravca vazduhoplova, zavisno od godišnjeg doba.";"a";"Navigacija"
"14";"Šta je uzrok godišnjih doba?";"Nagib Zemljine ose.";"Nejednako kretanja Zemlje okoSunca.";"Neravnomerna temperatura u svemiru.";"Oblik Zemljine putanje.";"a";"Navigacija"
"15";"Najkraću razdaljinu izmeñu dve tačke na Zemljinoj kugli zovemo: ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) - Navigacija";"Ortodroma.";"Lambodroma.";"Loksodroma.";"Mali krug.";"a";"Navigacija"
"16";"Veliki krug(ovi) na Zemaljskoj kugli je(su):";"Ekvator, meridijani i ortodrome.";"Samo ekvator.";"Ekvator i meridijan.";"Ekvator, meridijani i paralele.";"a";"Navigacija"
"17";"Ekvator je veliki krug čija ravan:";"Deli Zemljinu loptu na severnu i južnu hemisferu-poluloptu.";"Deli Zemljinu kuglu na zapadnu i istočnu hemisferu-poluloptu.";"Je paralelna sa Zemljinom osom.";"";"a";"Navigacija"
"18";"Koliko velikih krugova (ortodroma) je moguće ostvariti na zemljinoj kugli?";"Beskonačan broj.";"90.";"180.";"360. Pitanja iz oblasti: Vreme";"a";"Navigacija"
"19";"Veliki krug na Zemljinoj kugli je presek površine Zemlje i ravni, koja prolazi kroz:";"Središte Zemlje i ostvaruje sa Zemljinom osom proizvoljan ugao.";"Središte Zemlje i uvek je pod pravim uglom na Zemljinu osu.";"Središte Zemlje i zaklapa oštar ugao sa Zemljinom osom.";"Dve suprotne tačke na Zemljinoj površini, presek s površinom Zemlje je najkraće rastojanje izmeñu dve tačke.";"a";"Navigacija"
"20";"Koji od navedenih krugova na Zemaljskoj kugli nema središte u središtu Zemlje?";"Mali krug.";"Ortodroma.";"Veliki krug.";"Ekvator.";"a";"Navigacija"
"21";"Koji krugovi iz geografske mreže su istovremeno ortodrome i loksodrome?";"Meridijan iekvator.";"Samo paralele.";"Samo meridijani.";"Samo ekvator.";"a";"Navigacija"
"22";"Za koliko vremena Sunce preñe luk po nebu dužine 5 lučnih stepeni?";"20 minuta.";"60 minuta. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) - Navigacija";"30 minuta.";"4 minuta.";"a";"Navigacija"
"23";"Za koje vreme će se ugao Sunca promeniti za 27 stepeni?";"108 minuta.";"30 minuta.";"90 minuta.";"135 minuta.";"a";"Navigacija"
"24";"Koordinirano univerzalno vreme - UTC je:";"Vreme na geografskoj dužini ""O"", na nultom meridijanu.";"Lokalno vreme.";"Zonsko vreme.";"Srednje evropsko vreme. Pitanja iz oblasti: Smer, brzina, rastojanje, vreme";"a";"Navigacija"
"25";"13:00 po srednje evropskom letnjem vremenu je:";"1100 UTC.";"1200 UTC.";"1400 UTC.";"0100 UTC.";"a";"Navigacija"
"26";"Na priloženoj karti rastojanje izmeñu tačaka A i B je 9 cm. Koliko je to Nm? (Pogledajte PPL Nav-2)";"9.66.";"18.";"4.5.";"1.8.";"a";"Navigacija"
"27";"Rastojanje izmeñu tačaka ALFA i BRAVO iznosi 107Nm. Vazduhoplovu je za prvih 16Nm bilo potrebno 10 minuta. Koliko vremena će trajati ukupan let, ako brzina vazduhoplova ostaje nepromenjena?";"1 sat i 6 minuta.";"1 sat i 3 minuta.";"1 sat i 1 minut.";"59 minuta.";"a";"Navigacija"
"28";"Koje rastojanje preleti vazduhoplov sa 32 US gal upotrebljivog goriva u rezervoarima, srednja potrošnja 7,1 US gal/h, putna brzina 108 kt, a mora imati na kraju leta rezervu goriva za 1 sat letenja?";"379 Nm.";"384 Nm.";"420 Nm.";"487 Nm.";"a";"Navigacija"
"29";"Koje rastojanje preleti vazduhoplov sa 27 US gal upotrebljivog goriva u ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) - Navigacija rezervoarima, srednja potrošnja 6,8 US gal/h, putna brzina 93 kts, i ako na kraju leta mora imati 6 US gal rezerve goriva";"287 Nm.";"292 Nm.";"301 Nm.";"308 Nm.";"a";"Navigacija"
"30";"Koliko upotrebljivog goriva mora imati vazduhoplov za let dužine 300Nm sa putnom brzinom 120 kts, sa prosečnom potrošnjom od 7,3 US gal/h i rezervom goriva za 1 sat letenja?";"25.6 gal.";"15.0 gal";"18.3 gal.";"21.4 gal.";"a";"Navigacija"
"31";"Geografska širina je rastojanje tačke na Zemaljskoj kugli od:";"Ekvatora, merena u lučnimstepenima.";"Ekvatora, merena u statutnim miljama.";"Nultog meridijana, merena u lučnim stepenima.";"Nultog meridijana, merena u geografskim miljama.";"a";"Navigacija"
"32";"Dužinu u metrima brzo pretvaramo u dužinu u fitima pomoću formule:";"(m x 3) + 10%.";"m x 0.3.";"(m : 10) x 3.";"(m x 3) : 10.";"a";"Navigacija"
"33";"Visina 1.500 metara iznosi približno:";"4 900 ft.";"3 600 ft.";"4 000 ft.";"4 500 ft.";"a";"Navigacija"
"34";"Na karti očitavamo visinu prepreke 275 metara. Koja je to najmanja visina (u fitima), na kojoj smemo da letimo iznad prepreke, a da bi poštovali propis od 1 000 ft nadvišavanja prepreke?";"1 900 ft.";"2 230 ft.";"2 130 ft.";"1 230 ft.";"a";"Navigacija"
"35";"Visina 6 000 ft iznosi približno:";"1 800 m.";"1 200 m.";"3 000 m.";"12 000 m. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) - Navigacija";"a";"Navigacija"
"36";"Pritisku QFE 1000 hPa na aerodromu sa nadmorskom visinom 200 metara odgovara pritisak QNH?";"1025 hPa.";"985 hPa.";"990 hPa.";"1035 hPa.";"a";"Navigacija"
"37";"U slučaju kada na visinomeru vazduhoplova na zemlji promenimo postavljeni pritisak sa 996 hPa na 1033 hPa, visina se:";"Povećava.";"Neće promeniti.";"Kod visokih temperatura smanjuje, a pri niskim temperaturama povećava.";"Smanjuje za 1000 ft.";"a";"Navigacija"
"38";"Koliko iznosi geografska širina tačke na ekvatoru?";"0°.";"90°N.";"180°S.";"90°S.";"a";"Navigacija"
"39";"Koliko iznosi uglovna razlika meñu geografskim dužinama tačaka A i B, a kojima su geografske dužine? A: 04°14' 28""E; B: 02°30' 30""E.";"01° 43' 58"".";"06° 44' 58"".";"02° 44' 58"".";"02° 16' 02"".";"a";"Navigacija"
"40";"Koliko iznosi uglovna razlika meñu geografskim širinama tačaka A i B, a koje leže na geografskim širinama? A: 15°54'30""N B: 10°33'30’’S";"26°28' 00"".";"05° 21' 00"".";"25° 27' 00"".";"05° 28' 00"".";"a";"Navigacija"
